IncomeCategory,Date,HighestInfected
High income,01-01-2023,418442940
Middle Class Income,01-01-2023,142922490
Lower middle income,01-01-2023,97001315
Low income,01-01-2023,2268178
High income,31-12-2022,418269864
Middle Class Income,31-12-2022,142788132
Lower middle income,31-12-2022,96998079
Low income,31-12-2022,2267761
High income,30-12-2022,418025122
Middle Class Income,30-12-2022,142773157
Lower middle income,30-12-2022,96994288
Low income,30-12-2022,2267725
High income,29-12-2022,417506138
Middle Class Income,29-12-2022,142715177
Lower middle income,29-12-2022,96989661
Low income,29-12-2022,2267319
High income,28-12-2022,416912153
Middle Class Income,28-12-2022,142643541
Lower middle income,28-12-2022,96985172
Low income,28-12-2022,2267032
High income,27-12-2022,416354857
Middle Class Income,27-12-2022,142578944
Lower middle income,27-12-2022,96977584
Low income,27-12-2022,2266722
High income,26-12-2022,415761883
Middle Class Income,26-12-2022,142521248
Lower middle income,26-12-2022,96975491
Low income,26-12-2022,2266311
High income,25-12-2022,415486757
Middle Class Income,25-12-2022,142281591
Lower middle income,25-12-2022,96971966
Low income,25-12-2022,2265805
High income,24-12-2022,415256172
Middle Class Income,24-12-2022,142332821
Lower middle income,24-12-2022,96965574
Low income,24-12-2022,2265558
High income,23-12-2022,414955929
Middle Class Income,23-12-2022,142291617
Lower middle income,23-12-2022,96963278
Low income,23-12-2022,2265380
High income,22-12-2022,414360006
Middle Class Income,22-12-2022,142254536
Lower middle income,22-12-2022,96956249
Low income,22-12-2022,2265052
High income,21-12-2022,413688946
Middle Class Income,21-12-2022,142177915
Lower middle income,21-12-2022,96947308
Low income,21-12-2022,2264600
High income,20-12-2022,413055014
Middle Class Income,20-12-2022,142108922
Lower middle income,20-12-2022,96940207
Low income,20-12-2022,2264149
High income,19-12-2022,412437627
Middle Class Income,19-12-2022,142022524
Lower middle income,19-12-2022,96936680
Low income,19-12-2022,2263308
High income,18-12-2022,412011529
Middle Class Income,18-12-2022,141868054
Lower middle income,18-12-2022,96931369
Low income,18-12-2022,2263182
High income,17-12-2022,411752053
Middle Class Income,17-12-2022,141848996
Lower middle income,17-12-2022,96926683
Low income,17-12-2022,2262945
High income,16-12-2022,411496147
Middle Class Income,16-12-2022,141810751
Lower middle income,16-12-2022,96920723
Low income,16-12-2022,2262796
High income,15-12-2022,410854149
Middle Class Income,15-12-2022,141727263
Lower middle income,15-12-2022,96915187
Low income,15-12-2022,2262287
High income,14-12-2022,410205360
Middle Class Income,14-12-2022,141636591
Lower middle income,14-12-2022,96904965
Low income,14-12-2022,2261866
High income,13-12-2022,409605233
Middle Class Income,13-12-2022,141560246
Lower middle income,13-12-2022,96896184
Low income,13-12-2022,2261557
High income,12-12-2022,408959649
Middle Class Income,12-12-2022,141447187
Lower middle income,12-12-2022,96876984
Low income,12-12-2022,2261379
High income,11-12-2022,408540684
Middle Class Income,11-12-2022,141302038
Lower middle income,11-12-2022,96869062
Low income,11-12-2022,2260770
High income,10-12-2022,408303919
Middle Class Income,10-12-2022,141245545
Lower middle income,10-12-2022,96863436
Low income,10-12-2022,2260530
High income,09-12-2022,408061843
Middle Class Income,09-12-2022,141217359
Lower middle income,09-12-2022,96859327
Low income,09-12-2022,2260399
High income,08-12-2022,407433268
Middle Class Income,08-12-2022,141182362
